title;description;status;year;jurisdiction;source;datePromulgated;yearEnded;learnMore;learnMoreLanguage;dateModified;countries;states;technologies;tags;policyType
Call 21 FEE- Efficient Public Administration;This call supports energy efficiency measures leading to the improvement of energy performance in existing public buildings, in particular power capacitor banks.;In force;2016;National;International Energy Agency;;;http://www.pnaee.pt/avisos-fee/aviso-21;Portuguese;1,60003E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Manufacuturing technologies and systems"",""Heating, cooling and climate control technologies"",""Industry sector-specific processes and technologies"",""Mechanical ventilation and humidification"",""Space cooling"",""Space, water and process heating technologies"",""Lighting technologies""]";"[""GABC - Building Retrofits""]";[]
Call 23 FEE - Energy Efficiency in Transport Infrastructures;This call supports tangible energy efficiency measures to improve energy performance of transport infrastructures through existing equipment substitution and/or implementation of energy management systems towards consumption optimization. Aviso 23 ñ EE nas Infraestruturas Transportes 2017;In force;2017;National;International Energy Agency;;;http://www.pnaee.pt/avisos-fee/aviso-23;Portuguese;1,60003E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Lighting technologies"",""Other transport infrastructure""]";"[""GABC - Systems""]";[]
Call 18 FEE -  Reduction of Reactive Energy Consumption in Public Buildings 2015;"<div>The Energy Efficiency Fund, managed by the National Action Plan for Energy Efficiency (PANAEE), provides support for the implementation of measures contributing to the reduction of reactive energy consumption in publicly owned buildings and facilities. </div>



<div>Public authorities can benefit from the fund up to a maximum of 10,000 EUR. The total budget for this funding scheme was 300,000 EUR, which was increased to about 600,000 EUR given the large number of applicants: 332 applications were submitted, 245 of which were approved for funding. </div>";Ended;2015;National;International Energy Agency;;2015;http://www.pnaee.pt/avisos-fee/aviso-18;Portuguese;1,57165E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Building envelope technologies""]";[];[]
Call 22 FEE - Energy efficiency in Industry, Agriculture, Forestry and Fishery 2016 Aviso 22 ñ Ind˙stria e Agricultura 2016;Call 22 aims to support the Industry and Agriculture sectors in Portugal, with the main purpose of energy consumption reduction, through modernization and increase of competitiveness.;In force;2017;National;International Energy Agency;;;http://www.pnaee.pt/avisos-fee/aviso-22;Portuguese;1,60003E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Manufacuturing technologies and systems"",""Industry sector-specific processes and technologies"",""Lighting technologies""]";"[""GABC - Systems""]";[]
Government fleet renewal;Annual renewal of state and municipal fleets with 20% of EVs, from 2011 on;Ended;2011;National;International Energy Agency;;2020;http://www.ieahev.org/assets/1/7/2016_IA-HEV_BOOK_web_(1).pdf%20p.%20248;;1,75084E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Drive train or engine"",""Battery electric"",""Road vehicles"",""Transport technologies"",""Plug-in hybrid"",""Vehicle type""]";[];[]
Local incentives - priority lanes;Special EV access to priority lanes and exclusive circulation areas;In force;2015;City/Municipal;International Energy Agency;;;http://www.ieahev.org/assets/1/7/2016_IA-HEV_BOOK_web_(1).pdf;English;1,50987E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Drive train or engine"",""Road vehicles"",""Transport technologies"",""Battery electric"",""Plug-in hybrid"",""Vehicle type""]";[];[]
MOBI.E programme;RENER - Renewable Energy Living Lab - was a demonstration network of 1 350 charging points in 25 towns and along main roads.;Ended;2009;National;International Energy Agency;;2011;http://www.oecd.org/officialdocuments/publicdisplaydocumentpdf/?cote=COM/TAD/ENV/JWPTE(2013)27/FINAL&docLanguage=En;;1,62976E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];"[""Drive train or engine"",""Transport technologies"",""Battery electric"",""Plug-in hybrid""]";[];[]
Regulation (EU) 2019/631 on CO2 emission performance standards for new passenger cars and for new light commercial vehicles;<div>The regulation sets a fleet-wide target of 95 gCO2/km from the 1st of January 2020 for new passenger cars, and 147 gCO2/km for the average emissions of new light commercial vehicles. It also schedules the following targets:†</div><ul><li>2025: -15% reduction of the target in 2021</li><li>2030: -37.5% reduction of the target in 2021</li></ul>;Ended;2020;International;International Energy Agency;2019-04-17;;https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02019R0631-20240101&qid=1710756334545;English;1,75682E+12;"[{""iso3"":""HUN"",""name"":""Hungary""},{""iso3"":""IRL"",""name"":""Ireland""},{""iso3"":""ITA"",""name"":""Italy""},{""iso3"":""LUX"",""name"":""Luxembourg""},{""iso3"":""AUT"",""name"":""Austria""},{""iso3"":""NLD"",""name"":""Netherlands""},{""iso3"":""POL"",""name"":""Poland""},{""iso3"":""PRT"",""name"":""Portugal""},{""iso3"":""SVK"",""name"":""Slovak Republic""},{""iso3"":""ESP"",""name"":""Spain""},{""iso3"":""BEL"",""name"":""Belgium""},{""iso3"":""SWE"",""name"":""Sweden""},{""iso3"":""LVA"",""name"":""Latvia""},{""iso3"":""LTU"",""name"":""Lithuania""},{""iso3"":""MLT"",""name"":""Malta""},{""iso3"":""ROU"",""name"":""Romania""},{""iso3"":""SVN"",""name"":""Slovenia""},{""iso3"":""BGR"",""name"":""Bulgaria""},{""iso3"":""HRV"",""name"":""Croatia""},{""iso3"":""CYP"",""name"":""Cyprus""},{""iso3"":""CZE"",""name"":""Czech Republic""},{""iso3"":""DNK"",""name"":""Denmark""},{""iso3"":""EST"",""name"":""Estonia""},{""iso3"":""FIN"",""name"":""Finland""},{""iso3"":""FRA"",""name"":""France""},{""iso3"":""DEU"",""name"":""Germany""},{""iso3"":""GRC"",""name"":""Greece""},{""iso3"":""ISL"",""name"":""Iceland""},{""iso3"":""NOR"",""name"":""Norway""},{""iso3"":""LIE"",""name"":""Liechtenstein""},{""iso3"":""EUR"",""name"":""European Union""},{""iso3"":""GBR"",""name"":""United Kingdom""}]";[];"[""Drive train or engine"",""Large cars, SUVs, passenger / pickup trucks and light duty vehicles"",""Transport technologies"",""Road vehicles"",""Battery electric"",""Plug-in hybrid"",""Vehicle type""]";"[""Best policy practices""]";"[{""topic"":""Transport"",""family"":""Performance-based"",""name"":""Fuel efficiency standards"",""category"":""Light-duty vehicles""}]"
Tax Reduction for Renewable Energy Equipment;New budget provisions allow purchasers of renewable energy equipment, such as solar panels for residential use, to benefit from a reduced VAT of 5%. Investment costs in renewable end-use technology were deductible from the income tax with a limit to the deduction set at PTE 50 000 in 2000. Beginning in 1999, investors in equipment using solar energy are entitled to claim a depreciation rate of 25% (previously set at 7.14%).;In force;1999;National;JOIN IEA/IRENA Policy and Measures Database;;;;;1,34178E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
Electricity Generation Efficiency;<p>The government has implemented measures to encourage the development of more efficient or carbon free electricity production, including co-generation, small hydroelectric production and generation using other renewable energy sources. The formula for payments of capacity and energy supplied to the grid by new co-generators was set in 1999. Monthly payments are a function of performance and availability. An environment premium is added if thermal efficiency of the plant is at least equal to the most efficient combined-cycle. As with efficient electricity generation, the legislation approved for the payments of electricity from renewables is based on a market value associated to the environmental benefits (avoided carbon) obtained from renewable based electricity.</p>;Ended;1999;National;JOIN IEA/IRENA Policy and Measures Database;;;;;1,36322E+12;"[{""iso3"":""PRT"",""name"":""Portugal""}]";[];[];[];[]
