Unit of measure;airpol;Air pollutants and greenhouse gases;src_crf;Source sectors for greenhouse gas emissions (Common reporting format, UNFCCC);TIME_PERIOD;Time;OBS_VALUE
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2018;;63.21002
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2019;;60.32413
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2020;;53.97727
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2021;;53.53956
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2022;;55.97846
Million tonnes;GHG;Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent);TOTXMEMO;Total (excluding memo items);2023;;51.21686
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2004;;0.00243
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2005;;0.00243
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2006;;0.00233
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2007;;0.00227
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2008;;0.00226
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2009;;0.00211
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2010;;0.00203
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2011;;0.00195
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2012;;0.00182
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2013;;0.00171
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2014;;0.00173
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2015;;0.00187
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2016;;0.00188
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2017;;0.00205
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2018;;0.00197
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2019;;0.00194
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2020;;0.00183
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2021;;0.00188
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2022;;0.00195
Million tonnes;N2O;Nitrous oxide;CRF1;Energy;2023;;0.00186
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2004;;0.00242
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2005;;0.00242
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2006;;0.00232
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2007;;0.00226
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2008;;0.00225
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2009;;0.0021
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2010;;0.00202
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2011;;0.00194
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2012;;0.00181
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2013;;0.00171
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2014;;0.00172
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2015;;0.00186
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2016;;0.00187
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2017;;0.00204
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2018;;0.00196
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2019;;0.00193
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2020;;0.00182
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2021;;0.00187
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2022;;0.00194
Million tonnes;N2O;Nitrous oxide;CRF1A;Fuel combustion - sectoral approach;2023;;0.00185
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2004;;0.0005
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2005;;0.00055
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2006;;0.00052
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2007;;0.00048
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2008;;0.00051
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2009;;0.00053
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2010;;0.00046
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2011;;0.00049
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2012;;0.00044
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2013;;0.00035
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2014;;0.00033
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2015;;0.00045
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2016;;0.00046
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2017;;0.0006
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2018;;0.0005
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2019;;0.00045
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2020;;0.00042
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2021;;0.00037
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2022;;0.00041
Million tonnes;N2O;Nitrous oxide;CRF1A1;Fuel combustion in energy industries;2023;;0.00028
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2004;;0.01574
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2005;;0.01417
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2006;;0.01381
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2007;;0.01449
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2008;;0.01423
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2009;;0.01347
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2010;;0.01353
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2011;;0.01236
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2012;;0.01236
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2013;;0.01235
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2014;;0.01287
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2015;;0.01281
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2016;;0.01272
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2017;;0.01312
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2018;;0.01321
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2019;;0.01336
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2020;;0.01326
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2021;;0.01327
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2022;;0.01273
Million tonnes;N2O;Nitrous oxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2023;;0.01297
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2004;;0.01658
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2005;;0.01542
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2006;;0.01466
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2007;;0.01531
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2008;;0.01501
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2009;;0.01436
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2010;;0.01449
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2011;;0.01324
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2012;;0.0133
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2013;;0.01333
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2014;;0.01367
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2015;;0.01366
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2016;;0.0137
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2017;;0.01461
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2018;;0.01395
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2019;;0.01408
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2020;;0.01399
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2021;;0.01393
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2022;;0.01347
Million tonnes;N2O;Nitrous oxide;TOTXMEMO;Total (excluding memo items);2023;;0.01359
Thousand tonnes;CH4;Methane;CRF1;Energy;2004;;18.65
Thousand tonnes;CH4;Methane;CRF1;Energy;2005;;17.91
Thousand tonnes;CH4;Methane;CRF1;Energy;2006;;17.28
Thousand tonnes;CH4;Methane;CRF1;Energy;2007;;16.76
Thousand tonnes;CH4;Methane;CRF1;Energy;2008;;16.3
Thousand tonnes;CH4;Methane;CRF1;Energy;2009;;15.85
Thousand tonnes;CH4;Methane;CRF1;Energy;2010;;15.46
Thousand tonnes;CH4;Methane;CRF1;Energy;2011;;15.62
Thousand tonnes;CH4;Methane;CRF1;Energy;2012;;15.36
Thousand tonnes;CH4;Methane;CRF1;Energy;2013;;15.38
Thousand tonnes;CH4;Methane;CRF1;Energy;2014;;15.09
Thousand tonnes;CH4;Methane;CRF1;Energy;2015;;15.1
Thousand tonnes;CH4;Methane;CRF1;Energy;2016;;14.92
Thousand tonnes;CH4;Methane;CRF1;Energy;2017;;14.98
Thousand tonnes;CH4;Methane;CRF1;Energy;2018;;14.88
Thousand tonnes;CH4;Methane;CRF1;Energy;2019;;14.73
Thousand tonnes;CH4;Methane;CRF1;Energy;2020;;14.51
Thousand tonnes;CH4;Methane;CRF1;Energy;2021;;14.81
Thousand tonnes;CH4;Methane;CRF1;Energy;2022;;14.95
Thousand tonnes;CH4;Methane;CRF1;Energy;2023;;14.6
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2004;;16.28
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2005;;15.57
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2006;;14.89
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2007;;14.28
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2008;;13.69
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2009;;13.27
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2010;;12.73
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2011;;12.94
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2012;;12.65
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2013;;12.69
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2014;;12.51
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2015;;12.39
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2016;;12.25
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2017;;12.19
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2018;;12.06
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2019;;11.91
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2020;;11.78
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2021;;12.02
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2022;;12.24
Thousand tonnes;CH4;Methane;CRF1A;Fuel combustion - sectoral approach;2023;;11.97
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2004;;0.58
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2005;;0.64
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2006;;0.59
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2007;;0.55
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2008;;0.63
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2009;;0.64
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2010;;0.62
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2011;;0.62
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2012;;0.58
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2013;;0.57
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2014;;0.5
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2015;;0.57
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2016;;0.57
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2017;;0.59
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2018;;0.56
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2019;;0.48
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2020;;0.49
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2021;;0.58
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2022;;0.45
Thousand tonnes;CH4;Methane;CRF1A1;Fuel combustion in energy industries;2023;;0.39
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2004;;421.75
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2005;;415.74
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2006;;412.09
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2007;;405.91
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2008;;398.9
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2009;;394.41
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2010;;385.98
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2011;;383.52
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2012;;373.99
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2013;;366.53
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2014;;362.51
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2015;;356.92
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2016;;358.38
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2017;;361.14
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2018;;363.67
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2019;;366.43
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2020;;362.73
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2021;;365.85
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2022;;365.84
Thousand tonnes;CH4;Methane;TOTX4_MEMO;Total (excluding LULUCF and memo items);2023;;359.23
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2004;;427.19
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2005;;435.75
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2006;;416.04
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2007;;407.8
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2008;;399.5
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2009;;398.9
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2010;;393.43
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2011;;387.53
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2012;;380.05
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2013;;374.12
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2014;;363.26
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2015;;359.57
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2016;;366.46
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2017;;389.75
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2018;;365.26
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2019;;368.14
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2020;;365.55
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2021;;366.96
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2022;;371.12
Thousand tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2023;;360.9
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2004;;522.08
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2005;;501.56
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2006;;483.84
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2007;;469.31
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2008;;456.44
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2009;;443.67
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2010;;433.01
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2011;;437.23
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2012;;430.07
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2013;;430.77
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2014;;422.65
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2015;;422.83
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2016;;417.84
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2017;;419.32
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2018;;416.72
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2019;;412.34
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2020;;406.28
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2021;;414.57
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2022;;418.73
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2023;;408.69
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2004;;455.94
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2005;;435.95
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2006;;416.88
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2007;;399.71
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2008;;383.37
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2009;;371.49
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2010;;356.52
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2011;;362.29
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2012;;354.33
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2013;;355.39
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2014;;350.25
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2015;;346.99
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2016;;343.01
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2017;;341.33
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2018;;337.72
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2019;;333.44
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2020;;329.73
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2021;;336.51
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2022;;342.83
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2023;;335.03
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2004;;16.34
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2005;;17.8
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2006;;16.43
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2007;;15.29
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2008;;17.52
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2009;;17.87
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2010;;17.36
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2011;;17.42
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2012;;16.14
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2013;;15.95
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2014;;14.08
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2015;;15.9
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2016;;15.96
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2017;;16.49
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2018;;15.58
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2019;;13.53
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2020;;13.84
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2021;;16.31
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2022;;12.61
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2023;;10.81
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2004;;11808.9
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2005;;11640.64
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2006;;11538.55
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2007;;11365.59
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2008;;11169.06
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2009;;11043.44
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2010;;10807.43
Thousand tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2011;;10738.64
