Unit of measure;airpol;Air pollutants and greenhouse gases;src_crf;Source sectors for greenhouse gas emissions (Common reporting format, UNFCCC);TIME_PERIOD;Time;OBS_VALUE
Million tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2020;;0.36555
Million tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2021;;0.36696
Million tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2022;;0.37112
Million tonnes;CH4;Methane;TOTXMEMO;Total (excluding memo items);2023;;0.3609
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2004;;0.52208
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2005;;0.50156
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2006;;0.48384
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2007;;0.46931
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2008;;0.45644
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2009;;0.44367
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2010;;0.43301
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2011;;0.43723
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2012;;0.43007
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2013;;0.43077
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2014;;0.42265
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2015;;0.42283
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2016;;0.41784
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2017;;0.41932
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2018;;0.41672
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2019;;0.41234
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2020;;0.40628
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2021;;0.41457
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2022;;0.41873
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1;Energy;2023;;0.40869
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2004;;0.45594
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2005;;0.43595
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2006;;0.41688
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2007;;0.39971
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2008;;0.38337
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2009;;0.37149
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2010;;0.35652
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2011;;0.36229
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2012;;0.35433
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2013;;0.35539
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2014;;0.35025
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2015;;0.34699
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2016;;0.34301
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2017;;0.34133
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2018;;0.33772
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2019;;0.33344
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2020;;0.32973
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2021;;0.33651
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2022;;0.34283
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A;Fuel combustion - sectoral approach;2023;;0.33503
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2004;;0.01634
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2005;;0.0178
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2006;;0.01643
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2007;;0.01529
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2008;;0.01752
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2009;;0.01787
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2010;;0.01736
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2011;;0.01742
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2012;;0.01614
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2013;;0.01595
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2014;;0.01408
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2015;;0.0159
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2016;;0.01596
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2017;;0.01649
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2018;;0.01558
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2019;;0.01353
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2020;;0.01384
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2021;;0.01631
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2022;;0.01261
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);CRF1A1;Fuel combustion in energy industries;2023;;0.01081
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2004;;11.8089
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2005;;11.64064
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2006;;11.53855
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2007;;11.36559
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2008;;11.16906
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2009;;11.04344
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2010;;10.80743
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2011;;10.73864
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2012;;10.47172
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2013;;10.26294
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2014;;10.1502
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2015;;9.99364
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2016;;10.03452
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2017;;10.1119
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2018;;10.18288
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2019;;10.26007
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2020;;10.15637
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2021;;10.24387
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2022;;10.24343
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTX4_MEMO;Total (excluding LULUCF and memo items);2023;;10.05836
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2004;;11.9612
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2005;;12.2009
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2006;;11.64914
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2007;;11.41839
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2008;;11.18606
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2009;;11.16924
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2010;;11.016
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2011;;10.85092
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2012;;10.64139
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2013;;10.47532
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2014;;10.17139
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2015;;10.06789
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2016;;10.26084
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2017;;10.91312
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2018;;10.22731
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2019;;10.30794
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2020;;10.23529
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2021;;10.27494
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2022;;10.39148
Million tonnes;CH4_CO2E;Methane (CO2 equivalent);TOTXMEMO;Total (excluding memo items);2023;;10.10512
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2004;;60.35837
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2005;;62.76782
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2006;;58.42447
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2007;;55.36151
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2008;;53.40094
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2009;;52.30725
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2010;;47.78745
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2011;;47.20955
