country;year;co2;co2_per_capita;primary_energy_consumption;population;gdp;annual_co2_tonnes;energy_available_final_consumption_ktoe;gross_available_energy_ktoe;net_energy_supply_ktoe;renewables_share_pct;public_rd_investment;private_rd_investment;clean_energy_patents;ghg_total_kt_co2eq;ghg_agriculture_kt_co2eq;ghg_buildings_kt_co2eq;ghg_dom_avi_kt_co2eq;ghg_dom_ship_kt_co2eq;ghg_energy_kt_co2eq;ghg_indirect_kt_co2eq;ghg_industry_kt_co2eq;ghg_off-shore_kt_co2eq;ghg_transport_kt_co2eq;ghg_waste_kt_co2eq
Netherlands;2008;175.705;10.586;1094.389;16597257.0;737705000960.0;175903660.0;60652.393;98549.215;78381.715;3.596;147.9;678.2892809;203.23502060799999;214108.2456305169;18818.52444619366;36827.5303641464;40.284684000000205;978.5893932;59355.377644439715;471.073002667097;54202.39214056886;2000.375043455;34355.62768350609;7058.47122833957
Netherlands;2009;170.234;10.203;1079.291;16684147.0;713986801664.0;170433400.0;59534.059;95183.245;77051.256;4.266;207.70000000000002;824.2256404;242.705232205;208241.3085957465;18930.61647163891;36828.6290524141;37.186792000000196;994.5273312;59182.91320960206;431.528774778727;50542.70584926764;1716.9779062841;32816.05653891574;6760.16666964506
Netherlands;2010;182.289;10.869;1170.651;16771232.0;728193171456.0;182478750.0;64528.123;100013.605;82743.78;3.917;350.383;778.3812411;216.585805079;219866.1358376999;18974.07062408786;42612.3366175098;40.284684000000205;1115.65566;61791.259000078615;428.424669099319;53252.12993783094;1997.6702367783;33301.32820745269;6352.97620086182
Netherlands;2011;169.162;10.039;1115.092;16851061.0;744614395904.0;169346110.0;59571.925;95477.894;77009.541;4.524;150.76;806.581098;257.919832096;206758.5679684836;18713.59068067866;34361.13080838327;43.3825760000002;1128.4060104;57726.93507124606;405.391659153871;53076.35836921169;1876.4635965209;33374.94806417211;6051.96113271677
Netherlands;2012;165.575;9.789;1095.699;16915191.0;736942161920.0;165751870.0;60071.548;94435.766;77195.002;4.659;197.022;807.0852113999999;295.259080395;203882.9881121348;18542.64882111451;36500.83863877579;43.3825760000002;1039.1535576;55249.90464102116;383.792129298004;52439.445040174236;1846.0715818453;31980.15564368506;5857.59548262199
Netherlands;2013;164.758;9.71;1062.885;16967065.0;735982977024.0;164925380.0;59343.898;92238.991;75618.986;4.691;185.459;739.3941368999999;302.877161454;201675.8064176697;18786.14070819447;37720.5410933493;37.1807480000001;1102.9053096;55429.64833433991;362.040821745982;50426.11197510254;1959.8740733764;30354.66048529409;5496.7028686658305
Netherlands;2014;157.342;9.239;1016.331;17030087.0;746458841088.0;157502820.0;54493.139;87933.618;71379.094;5.415;152.977;821.9045472;314.695334861;193571.6838169794;19213.74732753584;29972.24794938136;30.9849640000001;959.4638676;58680.16158403079;327.505235512552;49649.75783943852;1698.8080106336;27757.98468506799;5281.02235377953
Netherlands;2015;163.743;9.571;1026.032;17107427.0;761083265024.0;163958100.0;55145.751;88432.014;72680.481;5.714;190.03300000000002;967.8283690000001;334.498723864;201527.44404943852;20050.871089708082;31813.78732627489;31.1620294400002;1048.84053156;63021.53270647211;317.861159018164;50775.97069530854;1376.1029818021;28144.38710342244;4946.9284264321905
Netherlands;2016;164.608;9.568;1044.014;17204694.0;777764077568.0;164811760.0;56872.232;90052.485;74280.391;5.846;150.045;719.452122;271.463558304;202676.51251505938;20175.12045292809;32530.89960896681;30.8699772799999;971.98150914;61802.16451695187;312.258769338547;52613.31762965453;1070.0269451498;28368.04200090271;4801.83110474618
Netherlands;2017;162.078;9.36;1052.206;17315375.0;800404013056.0;162295740.0;58249.52;91112.374;75439.956;6.507;150.084;224.10141800000002;0.0;198728.665082408;19210.60863472324;31758.18113767478;31.9665606400002;940.37351022;58805.6859049163;305.151875181288;52722.55868795607;1148.3829291621;29215.55208927787;4590.20375265753
Netherlands;2018;158.042;9.072;1026.77;17421284.0;819300859904.0;158264260.0;57880.62;89202.973;73918.057;7.394;223.38400000000001;0.0;0.0;191881.7028206234;18070.42973328034;31851.549200510668;31.9909903200004;935.97311808;54470.723170347854;296.85637273871;51577.39690493087;946.43601590509;29237.64397117787;4462.70334333127
Netherlands;2019;152.422;8.691;1022.329;17537506.0;835323035648.0;152727100.0;56258.934;87652.214;72248.61;8.886;0.0;0.0;0.0;186697.8017249716;18356.15351487766;30589.82724403101;31.6239660800003;858.15558531;51162.349890155165;282.54595625961497;51392.69377718739;833.09901952574;28887.56863863938;4303.7841329045805
Netherlands;2020;136.67;7.749;990.146;17636732.0;802861613056.0;136974140.0;55218.562;83746.089;69653.702;13.999;0.0;0.0;0.0;170341.1261042089;18221.07228487916;29039.37596454009;23.82472924000031;651.21394923;42955.43801590891;249.893158607538;49758.86502972955;635.75207836334;24662.84828021697;4142.84261349165
Netherlands;2021;139.684;7.878;1014.615;17730564.0;841906651136.0;139885680.0;56429.92;85718.757;71854.7;13.117;;;;173587.08093516369;17887.84761532641;31391.768371562808;26.648357680000103;730.84030056;43286.7934223768;249.849537040519;50694.53230770014;595.74095017768;24748.77541892631;3974.28465381242
Netherlands;2022;127.241;7.107;955.191;17904422.0;879609118720.0;127503144.0;49410.753;78789.19;64037.224;15.291;;;;160281.43260400378;17935.97020854351;25196.33535513422;31.9152103999997;775.4793696;39995.492086160026;230.631545397437;47438.45299190007;436.86384364232;24529.43496903479;3710.857024190656
Netherlands;2023;118.668;6.559;954.524;18092525.0;;117016380.0;48825.428;75886.355;61859.737;17.588;;;;149486.2630283975;17686.8474071924;23027.01987232076;28.9139135217622;826.56650964836;32916.62100449524;217.537844245353;45318.86544075051;318.90064482366;25543.84421667175;3601.1461747276
Poland;2004;323.796;8.484;1041.219;38167567.0;570430062592.0;323620770.0;60234.739;91735.869;91194.921;6.882;0.0;4.5655730000000005;15.688888908000001;410033.6881060245;35548.79416306172;56578.429326255;9.311808;19.1255256;169725.1853286099;987.402999200123;102175.27118557421;777.0796236721;32565.522875436298;11647.56527061697
Poland;2005;322.768;8.466;1061.937;38124377.0;595958562816.0;322576860.0;61700.316;92905.253;92253.971;6.867;0.0;9.795892;15.167133653999999;409952.3476995549;36198.86201942911;59707.0155486999;9.311808;15.937938;169232.4180094599;981.200220359544;96816.13429326727;748.58809680454;35005.530866100904;11237.348899431161
Poland;2006;336.577;8.841;1110.359;38071170.0;638713856000.0;336387230.0;65210.244;97834.526;97101.553;6.859;0.0;2.86952;19.758333327;423240.11013508274;36991.7014645853;62477.0624958502;9.311808;19.1255256;174617.4359458285;1006.83854434991;97780.25008677712;716.86283724197;38780.806215048;10840.715211801229
